author,orcid,affiliation,affiliation_type,country,paper_title,paper_year,paper_doi,paper_venue,author_position,topic_query,n_relevant_papers,industry_flag,score,reject_reason
Weiping Fu,,University of Arkansas at Fayetteville,academic,US,"Review of Ultrafast Switching Power Modules: Trends, Challenges, and Technical Solutions",2026,https://doi.org/10.1109/tpel.2026.3666879,IEEE Transactions on Power Electronics,middle,wide bandgap power device packaging,1,0,16,"review-only, no primary work"
Xiangqian Xiu,,Nanjing University,academic,CN,Advances and challenges in single crystal diamond growth via microwave plasma chemical vapor deposition,2026,https://doi.org/10.1080/26941112.2026.2669069,Functional Diamond,middle,diamond thermal conductivity substrate,1,0,16,"review-only, no primary work"
Xiaoqing Song,,University of Arkansas at Fayetteville,academic,US,"Review of Ultrafast Switching Power Modules: Trends, Challenges, and Technical Solutions",2026,https://doi.org/10.1109/tpel.2026.3666879,IEEE Transactions on Power Electronics,middle,wide bandgap power device packaging,1,0,16,"review-only, no primary work"
Yash Veer Singh,0000-0002-4291-5335,Eaton (United States),industry,US,"Review of Ultrafast Switching Power Modules: Trends, Challenges, and Technical Solutions",2026,https://doi.org/10.1109/tpel.2026.3666879,IEEE Transactions on Power Electronics,middle,wide bandgap power device packaging,1,1,16,"review-only, no primary work"
Yue Wang,0000-0003-0098-5359,China Electronics Technology Group Corporation,industry,CN,Advances and challenges in single crystal diamond growth via microwave plasma chemical vapor deposition,2026,https://doi.org/10.1080/26941112.2026.2669069,Functional Diamond,middle,diamond thermal conductivity substrate,1,1,16,"review-only, no primary work"
Yuxiang Chen,,University of Arkansas at Fayetteville,academic,US,"Review of Ultrafast Switching Power Modules: Trends, Challenges, and Technical Solutions",2026,https://doi.org/10.1109/tpel.2026.3666879,IEEE Transactions on Power Electronics,middle,wide bandgap power device packaging,1,0,16,"review-only, no primary work"
Ahsan Imran,,Nanjing University of Aeronautics and Astronautics,academic,CN,Preparation of copper-based diamond microstructure with high-quality surface by laser chemical milling,2025,https://doi.org/10.1016/j.surfin.2025.107134,Surfaces and Interfaces,middle,copper diamond composite,1,0,16,abrasive / non-device diamond
B Mason,0000-0002-2136-3252,Manufacturing Technology Centre (United Kingdom),industry,GB,Exploring the efficacy of water jet guided laser for cutting of tungsten carbide backed polycrystalline diamond,2025,https://doi.org/10.1007/s00170-025-16387-w,The International Journal of Advanced Manufacturing Technology,middle,diamond thermal conductivity substrate,1,1,16,abrasive / non-device diamond
Changrui Wang,0000-0002-8543-5999,Jiangsu Changjiang Electronics Technology (China),industry,CN,Preparation of copper-based diamond microstructure with high-quality surface by laser chemical milling,2025,https://doi.org/10.1016/j.surfin.2025.107134,Surfaces and Interfaces,middle,copper diamond composite,1,1,16,abrasive / non-device diamond
Feiyang Zhao,0009-0007-0954-2374,Fudan University,academic,CN,A review of ultra-wide-bandgap semiconductor radiation detector for high-energy particles and photons,2025,https://doi.org/10.1088/1361-6528/adb8f2,Nanotechnology,middle,GaN diamond thermal,1,0,16,"review-only, no primary work"
Felix Ejeckam,,Akash Systems,industry,,Thermal Boundary Resistance Reduction by Interfacial Nanopatterning for GaN-on-Diamond Electronics Applications,2025,https://doi.org/10.1021/acsaelm.5c00119,ACS Applied Electronic Materials,middle,diamond thermal conductivity substrate,1,1,16,competitor affiliation
Helen Elkington,0000-0002-0781-5806,Manufacturing Technology Centre (United Kingdom),industry,GB,Exploring the efficacy of water jet guided laser for cutting of tungsten carbide backed polycrystalline diamond,2025,https://doi.org/10.1007/s00170-025-16387-w,The International Journal of Advanced Manufacturing Technology,middle,diamond thermal conductivity substrate,1,1,16,abrasive / non-device diamond
J. K. J. van Duren,,Applied Diamond (United States),industry,US,Low temperature bonding of diamond heat spreaders for advanced thermal management,2025,https://doi.org/10.35848/1347-4065/adc699,Japanese Journal of Applied Physics,middle,diamond heat spreader,1,1,16,competitor affiliation
Kaixuan Feng,0009-0000-8986-2536,Nanjing University of Aeronautics and Astronautics,academic,CN,Preparation of copper-based diamond microstructure with high-quality surface by laser chemical milling,2025,https://doi.org/10.1016/j.surfin.2025.107134,Surfaces and Interfaces,middle,copper diamond composite,1,0,16,abrasive / non-device diamond
Panchapakesan Ramanarayanan,,Applied Diamond (United States),industry,US,Low temperature bonding of diamond heat spreaders for advanced thermal management,2025,https://doi.org/10.35848/1347-4065/adc699,Japanese Journal of Applied Physics,middle,diamond heat spreader,1,1,16,competitor affiliation
Tianyi Zhang,0000-0002-9266-6082,Fudan University,academic,CN,A review of ultra-wide-bandgap semiconductor radiation detector for high-energy particles and photons,2025,https://doi.org/10.1088/1361-6528/adb8f2,Nanotechnology,middle,GaN diamond thermal,1,0,16,"review-only, no primary work"
Tong Zhao,0000-0001-5633-7559,Applied Diamond (United States),industry,US,Low temperature bonding of diamond heat spreaders for advanced thermal management,2025,https://doi.org/10.35848/1347-4065/adc699,Japanese Journal of Applied Physics,middle,diamond heat spreader,1,1,16,competitor affiliation
Yongjie He,,Fudan University,academic,CN,A review of ultra-wide-bandgap semiconductor radiation detector for high-energy particles and photons,2025,https://doi.org/10.1088/1361-6528/adb8f2,Nanotechnology,middle,GaN diamond thermal,1,0,16,"review-only, no primary work"
Haoyong Dong,,Chery Automobile (China),industry,CN,Recent progress in homoepitaxial single-crystal diamond growth via MPCVD,2024,https://doi.org/10.1007/s10854-024-12267-3,Journal of Materials Science Materials in Electronics,middle,single crystal diamond MPCVD,1,1,8,"review-only, no primary work"
Javed Ali Mohammad,,Master's College,academic,US,A Review on Micronchannel and Minichannel Cooling Techniques for High-Density Electronic Devices,2024,https://doi.org/10.63282/3050-9416.ijaibdcms-v5i3p121,International Journal of AI BigData Computational and Management Studies,middle,laser diode thermal management,1,0,8,"review-only, no primary work"
Jiawei Liu,0000-0001-5546-5073,Nanjing University of Aeronautics and Astronautics,academic,CN,Nanosecond UV laser and micro-grinding on copper-based diamonds for electronic packaging,2024,https://doi.org/10.1016/j.ceramint.2024.12.112,Ceramics International,middle,copper diamond composite,1,0,8,abrasive / non-device diamond
Joana Catarina Mendes,0000-0001-9271-207X,Instituto de Telecomunicações,academic,PT,Recent progress in homoepitaxial single-crystal diamond growth via MPCVD,2024,https://doi.org/10.1007/s10854-024-12267-3,Journal of Materials Science Materials in Electronics,middle,single crystal diamond MPCVD,1,0,8,"review-only, no primary work"
Linfei Ran,,Nanjing University of Aeronautics and Astronautics,academic,CN,Nanosecond UV laser and micro-grinding on copper-based diamonds for electronic packaging,2024,https://doi.org/10.1016/j.ceramint.2024.12.112,Ceramics International,middle,copper diamond composite,1,0,8,abrasive / non-device diamond
Nicolas Wöhrl,,University of Duisburg-Essen,academic,DE,Recent progress in homoepitaxial single-crystal diamond growth via MPCVD,2024,https://doi.org/10.1007/s10854-024-12267-3,Journal of Materials Science Materials in Electronics,middle,single crystal diamond MPCVD,1,0,8,"review-only, no primary work"
Prathik Kumar Jannu,,"Jawaharlal Nehru Technological University, Hyderabad",academic,IN,A Review on Micronchannel and Minichannel Cooling Techniques for High-Density Electronic Devices,2024,https://doi.org/10.63282/3050-9416.ijaibdcms-v5i3p121,International Journal of AI BigData Computational and Management Studies,middle,laser diode thermal management,1,0,8,"review-only, no primary work"
Qian Lei,0000-0002-4664-9257,Central South University,academic,CN,High‐Strength Wear‐Resistant Cu/Tungsten Carbide/Diamond Composites Fabricated by Powder Metallurgy,2024,https://doi.org/10.1002/adem.202302142,Advanced Engineering Materials,middle,copper diamond composite,1,0,8,abrasive / non-device diamond
Qiaohuan Cheng,,Henan University of Technology,academic,CN,Recent progress in homoepitaxial single-crystal diamond growth via MPCVD,2024,https://doi.org/10.1007/s10854-024-12267-3,Journal of Materials Science Materials in Electronics,middle,single crystal diamond MPCVD,1,0,8,"review-only, no primary work"
Shijie Zhou,,Wockhardt (United States),industry,US,High‐Strength Wear‐Resistant Cu/Tungsten Carbide/Diamond Composites Fabricated by Powder Metallurgy,2024,https://doi.org/10.1002/adem.202302142,Advanced Engineering Materials,middle,copper diamond composite,1,1,8,abrasive / non-device diamond
Sri Harsha Panchali,,User Systems (United States),industry,US,A Review on Micronchannel and Minichannel Cooling Techniques for High-Density Electronic Devices,2024,https://doi.org/10.63282/3050-9416.ijaibdcms-v5i3p121,International Journal of AI BigData Computational and Management Studies,middle,laser diode thermal management,1,1,8,"review-only, no primary work"
Usha Mohani Kavirayani,,Kent State University,academic,US,A Review on Micronchannel and Minichannel Cooling Techniques for High-Density Electronic Devices,2024,https://doi.org/10.63282/3050-9416.ijaibdcms-v5i3p121,International Journal of AI BigData Computational and Management Studies,middle,laser diode thermal management,1,0,8,"review-only, no primary work"
Wei Lv,0009-0004-0820-8620,Henan University of Technology,academic,CN,Recent progress in homoepitaxial single-crystal diamond growth via MPCVD,2024,https://doi.org/10.1007/s10854-024-12267-3,Journal of Materials Science Materials in Electronics,middle,single crystal diamond MPCVD,1,0,8,"review-only, no primary work"
Xianzi Chen,,Jiangsu Changjiang Electronics Technology (China),industry,CN,Nanosecond UV laser and micro-grinding on copper-based diamonds for electronic packaging,2024,https://doi.org/10.1016/j.ceramint.2024.12.112,Ceramics International,middle,copper diamond composite,1,1,8,abrasive / non-device diamond
Xianzi Chen,,Jiangsu Changjiang Electronics Technology (China),industry,CN,Nanosecond UV laser and micro-grinding on copper-based diamonds for electronic packaging,2024,https://doi.org/10.1016/j.ceramint.2024.12.112,Ceramics International,middle,copper diamond composite,1,1,8,abrasive / non-device diamond
Xiaogang Li,0000-0001-9255-7559,Henan University of Technology,academic,CN,Recent progress in homoepitaxial single-crystal diamond growth via MPCVD,2024,https://doi.org/10.1007/s10854-024-12267-3,Journal of Materials Science Materials in Electronics,middle,single crystal diamond MPCVD,1,0,8,"review-only, no primary work"
Xun Yang,0000-0003-2113-5839,Zhengzhou University,academic,CN,Recent progress in homoepitaxial single-crystal diamond growth via MPCVD,2024,https://doi.org/10.1007/s10854-024-12267-3,Journal of Materials Science Materials in Electronics,middle,single crystal diamond MPCVD,1,0,8,"review-only, no primary work"
Yang Gao,0000-0003-3209-4788,Central South University,academic,CN,High‐Strength Wear‐Resistant Cu/Tungsten Carbide/Diamond Composites Fabricated by Powder Metallurgy,2024,https://doi.org/10.1002/adem.202302142,Advanced Engineering Materials,middle,copper diamond composite,1,0,8,abrasive / non-device diamond
Yue Feng,,Henan University of Technology,academic,CN,Recent progress in homoepitaxial single-crystal diamond growth via MPCVD,2024,https://doi.org/10.1007/s10854-024-12267-3,Journal of Materials Science Materials in Electronics,middle,single crystal diamond MPCVD,1,0,8,"review-only, no primary work"
Zhipeng Li,0000-0001-7223-9334,Nanjing University of Aeronautics and Astronautics,academic,CN,Nanosecond UV laser and micro-grinding on copper-based diamonds for electronic packaging,2024,https://doi.org/10.1016/j.ceramint.2024.12.112,Ceramics International,middle,copper diamond composite,1,0,8,abrasive / non-device diamond
