date,author,orcid,affiliation,tier,product_line,asset,channel,subject,paper_doi,hook,word_count,claims_used,drafted_by
,Stefano Spagna,0000-0002-2727-7718,Quantum Design (United States),T2,polycrystalline-CVD-diamond-wafer,NONE,email-draft,failure analysis of metal lines in chiplet integration,https://doi.org/10.1093/mam/ozaf048.166,built a multi-modal quality control and failure analysis approach for metal lines in chiplet integration,91,none,draft_outreach.py
,Woopoung Kim,,Samsung (United States),T2,polycrystalline-CVD-diamond-wafer,NONE,email-draft,chiplet and memory integration thermal path,https://doi.org/10.4071/001c.129076,worked on heterogeneous packaging for chiplet and memory integration,90,none,draft_outreach.py
,Yan Li,0000-0002-0640-1783,Samsung (United States),T2,polycrystalline-CVD-diamond-wafer,NONE,email-draft,chiplet and memory integration thermal path,https://doi.org/10.4071/001c.129076,worked on heterogeneous packaging for chiplet and memory integration,90,none,draft_outreach.py
,Alessandro Sitta,0000-0003-2394-0882,STMicroelectronics (Italy),T2,copper-diamond-composite,NONE,email-draft,pin fin roughness in SiC module cooling,https://doi.org/10.1016/j.ijft.2024.100609,quantified how pin fin cooler roughness changes thermo-fluid performance in a SiC power module,99,none,draft_outreach.py
,Collin Hitchcock,,GE Global Research (United States),T2,copper-diamond-composite,NONE,email-draft,printed process routes for SiC module packaging,https://doi.org/10.1109/tcpmt.2024.3453209,built SiC power module packaging from printed electronics materials and processes,94,none,draft_outreach.py
,Rejoy Surendran,,Henkel (Germany),T2,single-crystal-CVD-diamond-plate,NONE,email-draft,sintered die attach and what sits under it,https://doi.org/10.4071/001c.94312,optimized the mechanical properties of pressureless sintered die attach for package reliability,99,none,draft_outreach.py
,Xuan Hong,0000-0002-9849-6256,Henkel (Germany),T2,single-crystal-CVD-diamond-plate,NONE,email-draft,sintered die attach and what sits under it,https://doi.org/10.4071/001c.94312,optimized the mechanical properties of pressureless sintered die attach for package reliability,99,none,draft_outreach.py
,Feras Eid,,Intel (United Kingdom),T2,copper-diamond-composite,NONE,email-draft,cold spray copper diamond for package spreading,https://doi.org/10.4071/001c.128390,built cold sprayed copper diamond composites for semiconductor package thermal management,97,none,draft_outreach.py
,Zifeng Huang,0009-0005-7397-9963,Integrated Optoelectronics (Norway),T2,polycrystalline-CVD-diamond-wafer,NONE,email-draft,grain structure in diamond integrated GaN HEMTs,https://doi.org/10.1002/admt.202500437,integrated polycrystalline diamond with SiC for GaN HEMT thermal management and tracked the effect of grain structure,92,none,draft_outreach.py
,Brian Bersch,0000-0003-3599-1329,Northrop Grumman (United States),T2,polycrystalline-CVD-diamond-wafer,NONE,email-draft,topside diamond on GaN castellated FETs,https://doi.org/10.1109/led.2025.3602825,integrated nanocrystalline diamond on the topside of GaN super-lattice castellated FETs,98,none,draft_outreach.py
,Byung‐Sung Kim,0000-0003-3084-6499,Samsung (South Korea),T2,polycrystalline-CVD-diamond-wafer,NONE,email-draft,thermal ceiling in monolithic 3D integration,https://doi.org/10.1021/acsnano.5c15601,"mapped the challenges of monolithic three dimensional integration across logic, power and optoelectronics",97,none,draft_outreach.py
,Changsug Lee,,Taiwan Semiconductor Manufacturing Company (Taiwan),T2,single-crystal-CVD-diamond-plate,NONE,email-draft,diamond thin films in the BEOL stack,https://doi.org/10.1016/j.diamond.2025.112999,used MPCVD diamond thin films as heat spreaders in back end of line silicon fabrication,99,none,draft_outreach.py
,Chen-Chao Wang,0000-0002-7690-6656,Advanced Semiconductor Engineering (Taiwan),T2,polycrystalline-CVD-diamond-wafer,NONE,email-draft,predictive mechanical modelling for chiplet stacks,https://doi.org/10.4071/001c.129007,built a predictive mechanical analysis workflow for chiplet integration,91,none,draft_outreach.py
,Cheng‐Chi Wang,0000-0002-3009-6571,InnoLux (Taiwan),T2,polycrystalline-CVD-diamond-wafer,NONE,email-draft,thermal stability around polymer waveguides on glass,https://doi.org/10.1088/2515-7647/ae079b,developed low loss polymeric waveguides for co-packaged optics on glass substrates,100,none,draft_outreach.py
,Chinli Kou,,Advanced Semiconductor Engineering (Taiwan),T2,polycrystalline-CVD-diamond-wafer,NONE,email-draft,predictive mechanical modelling for chiplet stacks,https://doi.org/10.4071/001c.129007,built a predictive mechanical analysis workflow for chiplet integration,91,none,draft_outreach.py
,Darshit Jangid,0009-0004-0869-3224,Quantum Design (Germany),T2,polycrystalline-CVD-diamond-wafer,NONE,email-draft,failure analysis of metal lines in chiplet integration,https://doi.org/10.1093/mam/ozaf048.166,built a multi-modal quality control and failure analysis approach for metal lines in chiplet integration,91,none,draft_outreach.py
,David Übelacker,,Infineon Technologies (Germany),T2,copper-diamond-composite,NONE,email-draft,large area substrate temperature spread in converters,https://doi.org/10.1016/j.microrel.2025.115665,predicted power module lifetime in wind energy converters from temperature variation across a large area substrate,95,none,draft_outreach.py
,Deockho Kim,,Korea Electric Power Corporation (South Korea),T2,copper-diamond-composite,NONE,email-draft,thermal stress degradation in IGBT modules,https://doi.org/10.3390/electronics15081678,monitored thermal stress degradation and predicted IGBT module lifetime in a two level converter,94,none,draft_outreach.py
,Hajo Frerichs,0000-0002-7661-8259,Quantum Design (Germany),T2,polycrystalline-CVD-diamond-wafer,NONE,email-draft,failure analysis of metal lines in chiplet integration,https://doi.org/10.1093/mam/ozaf048.166,built a multi-modal quality control and failure analysis approach for metal lines in chiplet integration,91,none,draft_outreach.py
,Hsiaokang Chang,,Taiwan Semiconductor Manufacturing Company (Taiwan),T2,single-crystal-CVD-diamond-plate,NONE,email-draft,diamond thin films in the BEOL stack,https://doi.org/10.1016/j.diamond.2025.112999,used MPCVD diamond thin films as heat spreaders in back end of line silicon fabrication,99,none,draft_outreach.py
,Hsin-Yen Huang,,Taiwan Semiconductor Manufacturing Company (Taiwan),T2,single-crystal-CVD-diamond-plate,NONE,email-draft,diamond thin films in the BEOL stack,https://doi.org/10.1016/j.diamond.2025.112999,used MPCVD diamond thin films as heat spreaders in back end of line silicon fabrication,99,none,draft_outreach.py
,Ilyong Lee,,Korea Electric Power Corporation (South Korea),T2,copper-diamond-composite,NONE,email-draft,thermal stress degradation in IGBT modules,https://doi.org/10.3390/electronics15081678,monitored thermal stress degradation and predicted IGBT module lifetime in a two level converter,94,none,draft_outreach.py
,Jia-Huei Lin,,InnoLux (Taiwan),T2,polycrystalline-CVD-diamond-wafer,NONE,email-draft,thermal stability around polymer waveguides on glass,https://doi.org/10.1088/2515-7647/ae079b,developed low loss polymeric waveguides for co-packaged optics on glass substrates,100,none,draft_outreach.py
,Jimin Kwon,,Samsung (South Korea),T2,polycrystalline-CVD-diamond-wafer,NONE,email-draft,thermal ceiling in monolithic 3D integration,https://doi.org/10.1021/acsnano.5c15601,"mapped the challenges of monolithic three dimensional integration across logic, power and optoelectronics",97,none,draft_outreach.py
,Jiwook Kwon,,Samsung (South Korea),T2,polycrystalline-CVD-diamond-wafer,NONE,email-draft,thermal ceiling in monolithic 3D integration,https://doi.org/10.1021/acsnano.5c15601,"mapped the challenges of monolithic three dimensional integration across logic, power and optoelectronics",97,none,draft_outreach.py
,Kuang-Wei Yang,,Taiwan Semiconductor Manufacturing Company (Taiwan),T2,single-crystal-CVD-diamond-plate,NONE,email-draft,diamond thin films in the BEOL stack,https://doi.org/10.1016/j.diamond.2025.112999,used MPCVD diamond thin films as heat spreaders in back end of line silicon fabrication,99,none,draft_outreach.py
,LIANG I-CHANG,,InnoLux (Taiwan),T2,polycrystalline-CVD-diamond-wafer,NONE,email-draft,thermal stability around polymer waveguides on glass,https://doi.org/10.1088/2515-7647/ae079b,developed low loss polymeric waveguides for co-packaged optics on glass substrates,100,none,draft_outreach.py
,Michael Dornetshumer,,EV Group (Austria),T2,single-crystal-CVD-diamond-plate,NONE,email-draft,low temperature bonding of diamond spreaders,https://doi.org/10.35848/1347-4065/adc699,demonstrated low temperature bonding of diamond heat spreaders for advanced thermal management,100,none,draft_outreach.py
,Michael P. Stocker,,Northrop Grumman (United States),T2,polycrystalline-CVD-diamond-wafer,NONE,email-draft,topside diamond on GaN castellated FETs,https://doi.org/10.1109/led.2025.3602825,integrated nanocrystalline diamond on the topside of GaN super-lattice castellated FETs,98,none,draft_outreach.py
,Nicolas Degrenne,,Mitsubishi Electric (France),T2,copper-diamond-composite,NONE,email-draft,power module lifetime under compound tests,https://doi.org/10.1109/tpel.2026.3688002,estimated power module lifetime under compound test conditions,96,none,draft_outreach.py
,Oliver Schilling,0000-0001-7678-7653,Infineon Technologies (Germany),T2,copper-diamond-composite,NONE,email-draft,large area substrate temperature spread in converters,https://doi.org/10.1016/j.microrel.2025.115665,predicted power module lifetime in wind energy converters from temperature variation across a large area substrate,95,none,draft_outreach.py
,Robert Patti,0000-0003-0247-160X,NHanced Semiconductors (United States),T2,polycrystalline-CVD-diamond-wafer,NONE,email-draft,thermal limits on chiplet packaging,https://doi.org/10.37665/smctrsc40814,argued that chiplet architecture is the future of electronics packaging,98,none,draft_outreach.py
,Robert S. Howell,0009-0003-6540-5391,Northrop Grumman (United States),T2,polycrystalline-CVD-diamond-wafer,NONE,email-draft,topside diamond on GaN castellated FETs,https://doi.org/10.1109/led.2025.3602825,integrated nanocrystalline diamond on the topside of GaN super-lattice castellated FETs,98,none,draft_outreach.py
,Shao‐Kuan Lee,,Taiwan Semiconductor Manufacturing Company (Taiwan),T2,single-crystal-CVD-diamond-plate,NONE,email-draft,diamond thin films in the BEOL stack,https://doi.org/10.1016/j.diamond.2025.112999,used MPCVD diamond thin films as heat spreaders in back end of line silicon fabrication,99,none,draft_outreach.py
,Tobias Wernicke,0000-0003-1727-3868,EV Group (Austria),T2,single-crystal-CVD-diamond-plate,NONE,email-draft,low temperature bonding of diamond spreaders,https://doi.org/10.35848/1347-4065/adc699,demonstrated low temperature bonding of diamond heat spreaders for advanced thermal management,100,none,draft_outreach.py
